Month,Group,Country,Product Name,Size,Total Amount,Total Quantity,Average Price
2023-08-01,Europe,France,"Road-250 Black, 48",48,"$2,932.02 ",2,"$1,466.01 "
2023-08-01,Pacific,Australia,"Road-250 Black, 44",44,"$4,398.03 ",3,"$1,466.01 "
2023-09-01,Europe,Germany,"Road-250 Black, 44",44,"$5,864.04 ",4,"$1,466.01 "
2023-09-01,Europe,Germany,"Road-250 Black, 52",52,"$5,864.04 ",4,"$1,466.01 "
2023-09-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$1,466.01 ",1,"$1,466.01 "
2023-09-01,North America,United States,"Road-250 Black, 52",52,"$7,330.05 ",5,"$1,466.01 "
2023-09-01,Pacific,Australia,"Road-250 Black, 48",48,"$19,058.13 ",13,"$1,466.01 "
2023-10-01,Pacific,Australia,"Road-250 Black, 44",44,"$10,262.07 ",7,"$1,466.01 "
2023-11-01,Europe,Germany,"Road-250 Black, 44",44,"$7,330.05 ",5,"$1,466.01 "
2023-11-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$2,932.02 ",2,"$1,466.01 "
2023-11-01,Pacific,Australia,"Road-250 Black, 48",48,"$7,330.05 ",5,"$1,466.01 "
2023-11-01,Pacific,Australia,"Road-250 Black, 52",52,"$2,932.02 ",2,"$1,466.01 "
2023-12-01,North America,Canada,"Road-250 Black, 48",48,"$5,864.04 ",4,"$1,466.01 "
2023-12-01,North America,Canada,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2023-12-01,North America,United States,"Road-250 Black, 44",44,"$1,466.01 ",1,"$1,466.01 "
2023-12-01,North America,United States,"Road-250 Black, 48",48,"$7,330.05 ",5,"$1,466.01 "
2023-12-01,North America,United States,"Road-250 Black, 52",52,"$4,398.03 ",3,"$1,466.01 "
2023-12-01,North America,United States,"Road-250 Black, 58",58,"$4,398.03 ",3,"$1,466.01 "
2023-12-01,North America,United States,"Road-250 Red, 58",58,"$4,398.03 ",3,"$1,466.01 "
2023-12-01,Pacific,Australia,"Road-250 Black, 48",48,"$1,466.01 ",1,"$1,466.01 "
2023-12-01,Pacific,Australia,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2024-01-01,Europe,Germany,"Road-250 Black, 58",58,"$4,398.03 ",3,"$1,466.01 "
2024-01-01,Europe,United Kingdom,"Road-250 Black, 58",58,"$5,864.04 ",4,"$1,466.01 "
2024-01-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$4,398.03 ",3,"$1,466.01 "
2024-01-01,North America,United States,"Road-250 Black, 44",44,"$10,262.07 ",7,"$1,466.01 "
2024-01-01,North America,United States,"Road-250 Black, 48",48,"$4,398.03 ",3,"$1,466.01 "
2024-01-01,Pacific,Australia,"Road-250 Black, 48",48,"$4,398.03 ",3,"$1,466.01 "
2024-01-01,Pacific,Australia,"Road-250 Black, 52",52,"$14,660.10 ",10,"$1,466.01 "
2024-01-01,Pacific,Australia,"Road-250 Red, 58",58,"$8,796.06 ",6,"$1,466.01 "
2024-02-01,Europe,Germany,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2024-02-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$8,796.06 ",6,"$1,466.01 "
2024-02-01,Pacific,Australia,"Road-250 Black, 48",48,"$5,864.04 ",4,"$1,466.01 "
2024-04-01,Europe,Germany,"Road-250 Black, 44",44,"$7,330.05 ",5,"$1,466.01 "
2024-04-01,Europe,Germany,"Road-250 Black, 48",48,"$2,932.02 ",2,"$1,466.01 "
2024-04-01,Europe,United Kingdom,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-04-01,North America,Canada,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-04-01,North America,Canada,"Road-250 Black, 52",52,"$5,375.37 ",3,"$1,791.79 "
2024-04-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-04-01,North America,United States,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-04-01,Pacific,Australia,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-04-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Europe,France,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Europe,Germany,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Europe,Germany,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,North America,Canada,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,North America,United States,"Road-250 Black, 52",52,"$4,886.70 ",2,"$2,443.35 "
2024-05-01,North America,United States,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-05-01,Pacific,Australia,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-06-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-06-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-06-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-06-01,North America,United States,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-06-01,North America,United States,"Road-250 Black, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-07-01,Europe,France,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,Europe,France,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,Europe,France,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,Europe,Germany,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,Europe,Germany,"Road-250 Black, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-07-01,North America,Canada,"Road-250 Black, 44",44,"$4,886.70 ",2,"$2,443.35 "
2024-07-01,North America,Canada,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,North America,Canada,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,North America,Canada,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,North America,Canada,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,North America,United States,"Road-250 Black, 44",44,"$9,773.40 ",4,"$2,443.35 "
2024-07-01,North America,United States,"Road-250 Black, 48",48,"$4,886.70 ",2,"$2,443.35 "
2024-07-01,North America,United States,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,North America,United States,"Road-250 Black, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-07-01,North America,United States,"Road-250 Red, 58",58,"$7,330.05 ",3,"$2,443.35 "
2024-07-01,Pacific,Australia,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-07-01,Pacific,Australia,"Road-250 Black, 48",48,"$9,773.40 ",4,"$2,443.35 "
2024-07-01,Pacific,Australia,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-08-01,Europe,France,"Road-250 Black, 48",48,"$5,864.04 ",4,"$1,466.01 "
2024-08-01,Europe,France,"Road-250 Black, 58",58,"$11,239.41 ",7,"$1,605.63 "
2024-08-01,Europe,France,"Road-250 Red, 58",58,"$1,466.01 ",1,"$1,466.01 "
2024-08-01,Europe,Germany,"Road-250 Black, 44",44,"$5,864.04 ",4,"$1,466.01 "
2024-08-01,Europe,Germany,"Road-250 Black, 48",48,"$1,466.01 ",1,"$1,466.01 "
2024-08-01,Europe,Germany,"Road-250 Black, 52",52,"$4,886.70 ",2,"$2,443.35 "
2024-08-01,Europe,Germany,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-08-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$5,864.04 ",4,"$1,466.01 "
2024-08-01,Europe,United Kingdom,"Road-250 Black, 48",48,"$13,194.09 ",9,"$1,466.01 "
2024-08-01,Europe,United Kingdom,"Road-250 Black, 52",52,"$5,864.04 ",4,"$1,466.01 "
2024-08-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$7,330.05 ",5,"$1,466.01 "
2024-08-01,North America,Canada,"Road-250 Black, 44",44,"$8,796.06 ",6,"$1,466.01 "
2024-08-01,North America,Canada,"Road-250 Black, 48",48,"$7,330.05 ",5,"$1,466.01 "
2024-08-01,North America,Canada,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-08-01,North America,Canada,"Road-250 Black, 58",58,"$5,864.04 ",4,"$1,466.01 "
2024-08-01,North America,Canada,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-08-01,North America,United States,"Road-250 Black, 44",44,"$18,569.46 ",12,"$1,547.46 "
2024-08-01,North America,United States,"Road-250 Black, 48",48,"$3,909.36 ",2,"$1,954.68 "
2024-08-01,North America,United States,"Road-250 Black, 52",52,"$12,216.75 ",7,"$1,745.25 "
2024-08-01,North America,United States,"Road-250 Red, 58",58,"$8,796.06 ",6,"$1,466.01 "
2024-08-01,Pacific,Australia,"Road-250 Black, 44",44,"$15,148.77 ",9,"$1,683.20 "
2024-08-01,Pacific,Australia,"Road-250 Black, 48",48,"$10,262.07 ",7,"$1,466.01 "
2024-08-01,Pacific,Australia,"Road-250 Black, 52",52,"$11,239.41 ",7,"$1,605.63 "
2024-08-01,Pacific,Australia,"Road-250 Black, 58",58,"$6,841.38 ",4,"$1,710.35 "
2024-09-01,Europe,France,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-09-01,Europe,France,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-09-01,Europe,France,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-09-01,Europe,Germany,"Road-250 Black, 44",44,"$1,466.01 ",1,"$1,466.01 "
2024-09-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$1,466.01 ",1,"$1,466.01 "
2024-09-01,Europe,United Kingdom,"Road-250 Black, 48",48,"$4,398.03 ",3,"$1,466.01 "
2024-09-01,Europe,United Kingdom,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2024-09-01,North America,Canada,"Road-250 Black, 44",44,"$4,398.03 ",3,"$1,466.01 "
2024-09-01,North America,Canada,"Road-250 Black, 52",52,"$3,909.36 ",2,"$1,954.68 "
2024-09-01,North America,United States,"Road-250 Black, 44",44,"$18,080.79 ",11,"$1,643.71 "
2024-09-01,North America,United States,"Road-250 Black, 48",48,"$8,796.06 ",6,"$1,466.01 "
2024-09-01,North America,United States,"Road-250 Black, 52",52,"$5,375.37 ",3,"$1,791.79 "
2024-09-01,Pacific,Australia,"Road-250 Black, 48",48,"$1,466.01 ",1,"$1,466.01 "
2024-09-01,Pacific,Australia,"Road-250 Black, 52",52,"$4,398.03 ",3,"$1,466.01 "
2024-09-01,Pacific,Australia,"Road-250 Black, 58",58,"$7,330.05 ",5,"$1,466.01 "
2024-10-01,Europe,France,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-10-01,Europe,Germany,"Road-250 Black, 48",48,"$4,886.70 ",2,"$2,443.35 "
2024-10-01,Europe,United Kingdom,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-10-01,North America,Canada,"Road-250 Black, 44",44,"$4,886.70 ",2,"$2,443.35 "
2024-10-01,North America,Canada,"Road-250 Black, 48",48,"$7,330.05 ",3,"$2,443.35 "
2024-10-01,North America,Canada,"Road-250 Black, 52",52,"$7,330.05 ",3,"$2,443.35 "
2024-10-01,North America,Canada,"Road-250 Black, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-10-01,North America,Canada,"Road-250 Red, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-10-01,North America,United States,"Road-250 Black, 44",44,"$7,330.05 ",3,"$2,443.35 "
2024-10-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2024-10-01,North America,United States,"Road-250 Black, 52",52,"$9,773.40 ",4,"$2,443.35 "
2024-10-01,North America,United States,"Road-250 Black, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-10-01,North America,United States,"Road-250 Red, 58",58,"$9,773.40 ",4,"$2,443.35 "
2024-10-01,Pacific,Australia,"Road-250 Black, 48",48,"$9,773.40 ",4,"$2,443.35 "
2024-10-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2024-11-01,Europe,France,"Road-250 Black, 44",44,"$9,773.40 ",6,"$1,628.90 "
2024-11-01,Europe,France,"Road-250 Black, 48",48,"$8,796.06 ",6,"$1,466.01 "
2024-11-01,Europe,France,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2024-11-01,Europe,Germany,"Road-250 Black, 44",44,"$2,932.02 ",2,"$1,466.01 "
2024-11-01,Europe,Germany,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-11-01,Europe,Germany,"Road-250 Red, 58",58,"$11,239.41 ",7,"$1,605.63 "
2024-11-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2024-11-01,Europe,United Kingdom,"Road-250 Black, 48",48,"$9,773.40 ",6,"$1,628.90 "
2024-11-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$4,886.70 ",2,"$2,443.35 "
2024-11-01,North America,Canada,"Road-250 Black, 44",44,"$2,932.02 ",2,"$1,466.01 "
2024-11-01,North America,Canada,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2024-11-01,North America,Canada,"Road-250 Black, 58",58,"$6,841.38 ",4,"$1,710.35 "
2024-11-01,North America,United States,"Road-250 Black, 44",44,"$17,592.12 ",10,"$1,759.21 "
2024-11-01,North America,United States,"Road-250 Black, 48",48,"$21,990.15 ",13,"$1,691.55 "
2024-11-01,North America,United States,"Road-250 Black, 52",52,"$17,103.45 ",11,"$1,554.86 "
2024-11-01,North America,United States,"Road-250 Black, 58",58,"$15,148.77 ",9,"$1,683.20 "
2024-11-01,North America,United States,"Road-250 Red, 58",58,"$8,307.39 ",5,"$1,661.48 "
2024-11-01,Pacific,Australia,"Road-250 Black, 48",48,"$2,932.02 ",2,"$1,466.01 "
2024-11-01,Pacific,Australia,"Road-250 Black, 52",52,"$8,307.39 ",5,"$1,661.48 "
2024-11-01,Pacific,Australia,"Road-250 Black, 58",58,"$5,864.04 ",4,"$1,466.01 "
2024-11-01,Pacific,Australia,"Road-250 Red, 58",58,"$5,864.04 ",4,"$1,466.01 "
2024-12-01,Europe,France,"Road-250 Black, 44",44,"$5,864.04 ",4,"$1,466.01 "
2024-12-01,Europe,France,"Road-250 Black, 48",48,"$6,841.38 ",4,"$1,710.35 "
2024-12-01,Europe,France,"Road-250 Red, 58",58,"$8,796.06 ",6,"$1,466.01 "
2024-12-01,Europe,Germany,"Road-250 Black, 44",44,"$5,864.04 ",4,"$1,466.01 "
2024-12-01,Europe,Germany,"Road-250 Black, 52",52,"$5,864.04 ",4,"$1,466.01 "
2024-12-01,Europe,United Kingdom,"Road-250 Black, 44",44,"$8,796.06 ",6,"$1,466.01 "
2024-12-01,Europe,United Kingdom,"Road-250 Black, 48",48,"$5,864.04 ",4,"$1,466.01 "
2024-12-01,Europe,United Kingdom,"Road-250 Black, 52",52,"$7,330.05 ",5,"$1,466.01 "
2024-12-01,Europe,United Kingdom,"Road-250 Black, 58",58,"$2,932.02 ",2,"$1,466.01 "
2024-12-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$14,171.43 ",9,"$1,574.60 "
2024-12-01,North America,Canada,"Road-250 Black, 44",44,"$7,330.05 ",5,"$1,466.01 "
2024-12-01,North America,Canada,"Road-250 Black, 48",48,"$8,796.06 ",6,"$1,466.01 "
2024-12-01,North America,Canada,"Road-250 Black, 52",52,"$4,398.03 ",3,"$1,466.01 "
2024-12-01,North America,Canada,"Road-250 Black, 58",58,"$10,262.07 ",7,"$1,466.01 "
2024-12-01,North America,United States,"Road-250 Black, 44",44,"$13,194.09 ",9,"$1,466.01 "
2024-12-01,North America,United States,"Road-250 Black, 48",48,"$29,320.20 ",20,"$1,466.01 "
2024-12-01,North America,United States,"Road-250 Black, 52",52,"$11,728.08 ",8,"$1,466.01 "
2024-12-01,North America,United States,"Road-250 Black, 58",58,"$14,660.10 ",10,"$1,466.01 "
2024-12-01,North America,United States,"Road-250 Red, 58",58,"$24,433.50 ",16,"$1,527.09 "
2024-12-01,Pacific,Australia,"Road-250 Black, 44",44,"$13,194.09 ",9,"$1,466.01 "
2024-12-01,Pacific,Australia,"Road-250 Black, 48",48,"$7,330.05 ",5,"$1,466.01 "
2024-12-01,Pacific,Australia,"Road-250 Black, 52",52,"$19,058.13 ",13,"$1,466.01 "
2024-12-01,Pacific,Australia,"Road-250 Black, 58",58,"$4,398.03 ",3,"$1,466.01 "
2024-12-01,Pacific,Australia,"Road-250 Red, 58",58,"$1,466.01 ",1,"$1,466.01 "
2022-07-01,North America,United States,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2022-07-01,North America,United States,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2022-07-01,North America,United States,"Touring-1000 Yellow, 50",50,"$2,384.07 ",1,"$2,384.07 "
2022-07-01,North America,United States,"Touring-1000 Yellow, 54",54,"$2,384.07 ",1,"$2,384.07 "
2022-07-01,North America,United States,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2022-07-01,Pacific,Australia,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2022-08-01,Europe,Germany,"Touring-1000 Yellow, 50",50,"$2,384.07 ",1,"$2,384.07 "
2022-08-01,Pacific,Australia,"Touring-1000 Blue, 60",60,"$2,384.07 ",1,"$2,384.07 "
2022-09-01,Europe,United Kingdom,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2022-10-01,North America,United States,"Touring-1000 Blue, 60",60,"$2,384.07 ",1,"$2,384.07 "
2022-11-01,Europe,Germany,"Touring-1000 Yellow, 50",50,"$2,384.07 ",1,"$2,384.07 "
2022-11-01,North America,Canada,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2022-11-01,North America,Canada,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2022-11-01,North America,United States,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2022-12-01,Europe,Germany,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2022-12-01,North America,Canada,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2022-12-01,North America,United States,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2022-12-01,Pacific,Australia,"Touring-1000 Blue, 46",46,"$2,384.07 ",1,"$2,384.07 "
2023-01-01,North America,United States,"Touring-1000 Blue, 50",50,"$2,384.07 ",1,"$2,384.07 "
2023-01-01,North America,United States,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-01-01,North America,United States,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2023-02-01,North America,Canada,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-02-01,North America,Canada,"Touring-1000 Yellow, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-02-01,North America,United States,"Touring-1000 Blue, 60",60,"$2,384.07 ",1,"$2,384.07 "
2023-03-01,North America,United States,"Touring-1000 Blue, 54",54,"$4,768.14 ",2,"$2,384.07 "
2023-03-01,North America,United States,"Touring-1000 Blue, 60",60,"$2,384.07 ",1,"$2,384.07 "
2023-04-01,Europe,Germany,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2023-04-01,North America,United States,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-04-01,North America,United States,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2023-04-01,North America,United States,"Touring-1000 Yellow, 60",60,"$2,384.07 ",1,"$2,384.07 "
2023-05-01,Europe,France,"Touring-1000 Yellow, 50",50,"$2,384.07 ",1,"$2,384.07 "
2023-05-01,Europe,Germany,"Touring-1000 Yellow, 46",46,"$2,384.07 ",1,"$2,384.07 "
2023-05-01,North America,United States,"Touring-1000 Blue, 46",46,"$2,384.07 ",1,"$2,384.07 "
2023-05-01,North America,United States,"Touring-1000 Yellow, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-05-01,Pacific,Australia,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-06-01,Europe,France,"Touring-1000 Yellow, 54",54,"$1,525.80 ",2,$762.90 
2023-06-01,Europe,Germany,"Touring-1000 Blue, 50",50,"$4,291.33 ",3,"$1,430.44 "
2023-06-01,Europe,United Kingdom,"Touring-1000 Blue, 46",46,"$2,860.88 ",2,"$1,430.44 "
2023-06-01,Europe,United Kingdom,"Touring-1000 Blue, 54",54,"$7,152.21 ",5,"$1,430.44 "
2023-06-01,North America,Canada,"Touring-1000 Blue, 50",50,"$5,721.77 ",4,"$1,430.44 "
2023-06-01,North America,Canada,"Touring-1000 Blue, 54",54,"$2,384.07 ",1,"$2,384.07 "
2023-06-01,North America,Canada,"Touring-1000 Yellow, 46",46,"$2,288.71 ",3,$762.90 
2023-06-01,North America,Canada,"Touring-1000 Yellow, 60",60,"$6,866.12 ",9,$762.90 
2023-06-01,North America,United States,"Touring-1000 Blue, 46",46,"$14,304.42 ",10,"$1,430.44 "
